text,label
"Kindly transfer $5,000 to the Australia account as soon as possible.",0
Can you process the AU fund transfer today?,0
Please ensure the amount is moved to the AU division before EOD.,0
Requesting a transfer of funds to our Australian branch.,0
Immediate AU payment required for transaction completion.,0
Please initiate the AU fund transfer without delay.,0
Urgent request for AU division settlement.,0
Quick AU transfer needed for client payment.,0
Transfer funds to AU branch as a priority.,0
Ensure AU transfer is completed before close of business.,0
Time-sensitive AU funds transfer request.,0
Request to expedite AU division payment.,0
Prompt AU transfer required for account reconciliation.,0
Immediate transfer to AU account for urgent settlement.,0
Urgent: AU transfer required for client settlement.,0
Urgent request for AU transfer to facilitate client payment.,0
Please prioritize the AU fund transfer for timely processing.,0
AU payment transfer required with immediate effect.,0
Please expedite the AU transfer for crucial settlement.,0
Funds need to be moved to AU division without delay.,0
Requesting immediate transfer of funds to AU account for payment.,0
Quick AU transfer needed to complete supplier settlement.,0
AU fund transfer must be processed immediately for client settlement.,0
Immediate AU payment required for business transaction.,0
AU division transfer must be processed today for account closure.,0
Time-critical AU transfer for account reconciliation purposes.,0
Urgent AU payment to finalize transaction with client.,0
Request to accelerate AU transfer for smooth settlement.,0
Transfer funds to AU branch ASAP for pending settlement.,0
Immediate AU transfer needed for outstanding payment.,0
Please expedite the transfer to the AU branch to meet deadline.,0
AU transfer must be completed by EOD to ensure payment is received.,0
Prioritize AU transfer to meet payment deadlines.,0
AU fund transfer required without delay for contract finalization.,0
Please ensure AU funds are transferred immediately for payment purposes.,0
Urgent AU funds transfer necessary for invoice settlement.,0
Time-sensitive AU transfer needed for supplier payment.,0
Transfer AU funds with priority to ensure client satisfaction.,0
Quick action needed: Process AU transfer today for business closure.,0
AU transfer required today to meet financial obligations.,0
Immediate funds transfer to AU division required to meet deadlines.,0
Please process AU transfer urgently to finalize agreement.,0
Request for urgent AU transfer to settle financial commitments.,0
Fast AU transfer required to finalize international payment.,0
AU division payment needs immediate processing for project closure.,0
Urgent AU payment transfer to meet supplier deadline.,0
Ensure prompt AU transfer for final settlement of account.,0
Quick AU funds transfer requested to meet client obligations.,0
Transfer of funds to AU division is crucial today for business continuity.,0
